1: ['CPU', 'AMD', '단가', '인텔', '단가', None, None, None, None]
99: [None, None, None, '\xa0 삼성 32G 23400', None, None, None, None, None]
100: [None, None, None, '삼성 32G 38400(4800B)', None, None, None, None, None]
101: ['\xa0노트북메모리 ', '외산', '단가', '삼성', '단가', '서버용', '단가', None, None]
102: [None, '노트북용 외산 8G DDR3', None, '노트북용 삼성 4G DDR3 일반전력 ', None, '삼성 32G 2400(19200) ECC/REG', None, None, None]
103: [None, '노트북용 하이닉스 저전력\xa0 8G 12800 ', None, '노트북용 삼성 4G 2133(17000)', None, '하이닉스 32G 2666(21300) ECC/REG', None, None, None]
104: [None, '노트북용 외산 4G DDR4', None, '노트북용 삼성 4G 2400(19200)', None, None, None, None, None]
105: [None, '노트북용 외산 8G DDR4', None, '노트북용 삼성 8G 2133(17000)', None, None, None, None, None]
106: [None, '노트북용 외산 8G DDR4', None, '노트북용 삼성 8G 2400(19200)', None, None, None, None, None]
107: [None, '노트북용 외산 16G DDR4', None, '노트북용 삼성 8G 2666(21300) ', None, None, None, None, None]
108: [None, '노트북용마이크론\xa0 8G 4800B', None, '노트북용 삼성 8G 3200(25600)', None, None, None, None, None]
109: [None, '노트북용 마이크론 8G 5600B', None, '노트북용 삼성 16G 2133(17000)', None, None, None, None, None]
110: [None, '노트북용 하이닉스 16G 4800B\xa0', None, '노트북용 삼성 16G 2400(19200)', None, None, None, None, None]
111: [None, None, None, '노트북용 삼성 16G 2666(21300)', None, None, None, None, None]
112: [None, None, None, '노트북용 삼성 16G 3200(25600)', None, None, None, None, None]
113: [None, None, None, '노트북용삼성\xa0 8G 4800B', None, None, None, None, None]
114: [None, None, None, '노트북용 삼성16G 5600B', None, None, None, None, None]
115: ['그래픽카드', '외산', '단가', None, None, None, None, None, None]
116: [None, 'GT520이상', None, None, None, None, None, None, None]
117: [None, 'GT 1030', None, None, None, None, None, None, None]
118: [None, 'GTX 760 ', None, None, None, None, None, None, None]
119: [None, 'GTX 950', None, None, None, None, None, None, None]
120: [None, 'GTX 970', None, None, None, None, None, None, None]
121: [None, 'GTX1050', None, None, None, None, None, None, None]
122: [None, 'GTX1050TI ', None, None, None, None, None, None, None]
123: [None, 'GTX1060 3G', None, None, None, None, None, None, None]
124: [None, 'GTX1060 6G', None, None, None, None, None, None, None]
125: [None, 'GTX 1070', None, None, None, None, None, None, None]
126: [None, 'GTX1650', None, None, None, None, '\xa0', None, None]
127: [None, 'GTX1660', None, None, None, None, None, None, None]
128: [None, 'GTX1660TI', None, None, None, None, None, None, None]
129: [None, 'RTX2070', None, None, None, None, None, None, None]
130: [None, 'RTX3050', None, None, None, None, None, None, None]
131: [None, 'RX460', None, None, None, None, None, None, None]
132: [None, '기가바이트 6500XT', None, None, None, None, None, None, None]
133: [None, '아수스 7900X', None, None, None, None, None, None, None]
134: [None, 'TOP POWER 500W', None, None, None, None, None, None, None]
135: [None, '정격 500w(80plus)', None, None, None, None, None, None, None]
137: ['SSD/HDD', '(2.5인치SSD )', '단가', '(NVME)외산', '단가', '(NVME)삼성', '단가', '(M.2)', '단가']
138: [None, '외산 120G', None, '외산 120G이상 NVME', None, ' 삼성 120G이상', None, '삼성 120G M.2', None]
